Year,B_10^3ton,SSB_10^3ton,RPS_fish_per_kg,CatchRatio_pcnt
1977,149,109,554,52
1978,101,68,858,55
1979,74,45,1613,50
1980,95,64,855,51
1981,101,64,821,46
1982,154,82,735,50
1983,154,74,777,48
1984,117,69,545,52
1985,104,48,982,45
1986,124,78,584,53
1987,95,55,1166,50
1988,114,54,1530,50
1989,110,72,1028,55
1990,109,69,1136,44
1991,190,117,817,44
1992,191,105,844,47
1993,164,123,609,45
1994,145,108,771,44
1995,211,112,907,47
1996,223,146,617,53
1997,199,134,769,43
1998,306,210,525,44
1999,264,188,718,53
2000,257,147,969,54
2001,130,88,904,56
2002,141,68,1026,50
2003,156,86,935,53
2004,139,76,1419,50
2005,159,91,1372,53
2006,178,86,1293,44
2007,247,180,700,38
2008,208,166,482,50
2009,138,108,633,41
2010,151,109,763,49
2011,128,81,790,54
2012,106,56,1070,51
2013,101,71,851,52
2014,120,78,732,54
2015,128,61,1133,52
2016,103,66,958,53
2017,104,57,1116,53
2018,98,63,777,54
